Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
Mississippi,2022-01-12,608768,10563,NA,NA,1.7351437657695543
Missouri,2022-01-12,1126746,16722,NA,NA,1.4840966819496142
Montana,2022-01-12,206295,2927,NA,NA,1.4188419496352311
Nebraska,2022-01-12,367878,3486,NA,NA,0.9475967576207328
Nevada,2022-01-12,530344,8560,NA,NA,1.6140467319324816
New Hampshire,2022-01-12,226132,2032,NA,NA,0.8985902039516742
New Jersey,2022-01-12,1892142,29634,NA,NA,1.5661615248749832
New Mexico,2022-01-12,381295,6045,NA,NA,1.5853866428880523
New York,2022-01-12,4257408,60986,NA,NA,1.4324678301915157
North Carolina,2022-01-12,1905265,19706,NA,NA,1.0342918176736569
North Dakota,2022-01-12,184613,2079,NA,NA,1.1261395459691357
Ohio,2022-01-12,2226881,32193,NA,NA,1.3667097613208787
Oklahoma,2022-01-12,769662,12666,NA,NA,1.6456574444366487
Oregon,2022-01-12,486202,5814,NA,NA,1.195799276843781
Pennsylvania,2022-01-12,2321087,37899,NA,NA,1.6328125572199577
Rhode Island,2022-01-12,284907,3144,NA,NA,1.1035179900809735
South Carolina,2022-01-12,1102603,14803,NA,NA,1.3425503104925345
South Dakota,2022-01-12,195204,2528,NA,NA,1.2950554291920249
Tennessee,2022-01-12,1462996,20941,NA,NA,1.4313778028101238
Texas,2022-01-12,5194077,76643,NA,NA,1.4901391992953998
Utah,2022-01-12,715996,3922,NA,NA,0.5477684232872809
Vermont,2022-01-12,76673,483,NA,NA,0.6299479608206279
Virginia,2022-01-12,1295420,15715,NA,NA,1.2131200691667567
Washington,2022-01-12,991838,10026,NA,NA,1.0108505622894062
West Virginia,2022-01-12,362777,5452,NA,NA,1.5028516140769674
Wisconsin,2022-01-12,1234281,11527,NA,NA,0.933904029957522
Wyoming,2022-01-12,122754,1588,NA,NA,1.2936441989670395
Alabama,2021-01-13,407848,5573,211684,190591,1.3664404385947706
Alaska,2021-01-13,50544,225,7165,43154,0.4451566951566951
Arizona,2021-01-13,636100,10482,86757,538861,1.6478541109888385
Arkansas,2021-01-13,259553,4121,229700,25732,1.58772967370826
California,2021-01-13,2895029,30655,NA,NA,1.0584401930362888
Colorado,2021-01-13,364336,5242,19328,339766,1.4387817838478767
Connecticut,2021-01-13,217047,6449,9800,200798,2.971245859191788
Delaware,2021-01-13,66446,1157,18851,46438,1.7412635824579357
District of Columbia,2021-01-13,32423,825,22464,9134,2.544490022514881
Florida,2021-01-13,1503482,23227,NA,NA,1.5448804841029025
Georgia,2021-01-13,773692,11662,NA,NA,1.507318157613107
Hawaii,2021-01-13,24261,309,11958,11994,1.2736490664028688
Idaho,2021-01-13,151273,1556,66796,82921,1.028603914776596
Illinois,2021-01-13,1040168,19497,NA,NA,1.8744087493558732
Indiana,2021-01-13,570477,10271,370456,189750,1.8004231546582947
Iowa,2021-01-13,299255,4222,258758,36275,1.4108369116639654
Kansas,2021-01-13,249803,3274,4896,241633,1.3106327786295602
Kentucky,2021-01-13,308728,2944,39200,266584,0.9535902153351816
Louisiana,2021-01-13,352939,7971,280373,64595,2.2584639271942177
Maine,2021-01-13,30326,449,11768,18109,1.4805777220866585
Maryland,2021-01-13,312351,6367,9434,296550,2.038411914800977
Massachusetts,2021-01-13,442529,13273,293522,135734,2.999351454932897
Michigan,2021-01-13,570150,14296,415079,140775,2.5074103306147504
Minnesota,2021-01-13,438867,5792,418610,14465,1.3197620235743404
Mississippi,2021-01-13,241957,5284,198888,37785,2.1838591154626648
Missouri,2021-01-13,486456,6383,NA,NA,1.31214333876034
Montana,2021-01-13,87077,1067,81183,4827,1.225352274423786
Nebraska,2021-01-13,177670,1791,122564,53315,1.008048629481623
Nevada,2021-01-13,252842,3546,NA,NA,1.4024568702984472
New Hampshire,2021-01-13,54516,878,46031,7607,1.6105363562990682
New Jersey,2021-01-13,594749,20039,60328,514382,3.369320503271128
New Mexico,2021-01-13,157974,2794,80580,74600,1.768645473305734
New York,2021-01-13,1164562,39835,111141,1013586,3.4205993326246262
North Carolina,2021-01-13,635975,7638,521475,106862,1.2009906049766108
North Dakota,2021-01-13,94968,1363,91850,1755,1.435220284727487
Ohio,2021-01-13,792938,15337,648724,128878,1.9340730296694064
Oklahoma,2021-01-13,337900,2804,294629,40467,0.8298313110387688
Oregon,2021-01-13,127780,1667,5870,120243,1.3045860071998747
Pennsylvania,2021-01-13,741976,18137,542737,181102,2.444418687396897
Rhode Island,2021-01-13,101393,2109,6042,93242,2.080025248291302
South Carolina,2021-01-13,359357,5860,166724,186773,1.6306903719699353
South Dakota,2021-01-13,103743,1585,97407,4751,1.5278139247949258
Tennessee,2021-01-13,660874,8011,579345,73518,1.2121826550900776
Texas,2021-01-13,2042602,30895,1595600,388150,1.5335207939860371
Utah,2021-01-13,309629,1422,253415,54792,0.4592593071062465
Vermont,2021-01-13,9247,158,6226,2863,1.7086622688439494
Virginia,2021-01-13,407947,5477,33562,368908,1.3425763640865112
Washington,2021-01-13,278544,3789,NA,NA,1.3602877821816302
West Virginia,2021-01-13,103203,1634,72992,28577,1.5832873075395095
Wisconsin,2021-01-13,555249,5633,477460,72156,1.0144998009901864
Wyoming,2021-01-13,48072,522,45223,2327,1.0858711932101848
Alabama,2022-01-13,1004622,16641,NA,NA,1.6564439162192346
Alaska,2022-01-13,173139,985,NA,NA,0.5689070631111419
Arizona,2022-01-13,1524363,24992,NA,NA,1.6395045012244458
Arkansas,2022-01-13,640799,9372,NA,NA,1.4625490988593928
California,2022-01-13,6665511,77360,NA,NA,1.1794432314427126
Colorado,2022-01-13,1075115,10552,NA,NA,0.9814764001990484
Connecticut,2022-01-13,619185,9442,NA,NA,1.5249077416281078
Delaware,2022-01-13,213993,2377,NA,NA,1.1107839976073983
District of Columbia,2022-01-13,118802,1240,NA,NA,1.0437534721637682
Florida,2022-01-13,4878524,62819,NA,NA,1.281207184796057
Georgia,2022-01-13,2069066,31801,NA,NA,1.53697368764457
Hawaii,2022-01-13,153540,1110,NA,NA,0.7229386479093396
Idaho,2022-01-13,334086,4260,NA,NA,1.2751207772848907
Illinois,2022-01-13,2522953,31237,NA,NA,1.2381126402275429
Indiana,2022-01-13,1393574,20035,NA,NA,1.437670335410965
Iowa,2022-01-13,626336,8201,NA,NA,1.3093611096919229
Kansas,2022-01-13,581874,7117,NA,NA,1.2231170322097225
Kentucky,2022-01-13,952956,12455,NA,NA,1.3069858419486309
Louisiana,2022-01-13,949941,15116,NA,NA,1.591256720154199
Maine,2022-01-13,156532,1623,NA,NA,1.0368486954744078
Maryland,2022-01-13,861349,12415,NA,NA,1.4413437526484618
Massachusetts,2022-01-13,1389904,20835,NA,NA,1.4990243930516065
Michigan,2022-01-13,1940708,30412,NA,NA,1.567056970961113
Minnesota,2022-01-13,1115198,11027,NA,NA,0.9887930215082882
Mississippi,2022-01-13,616972,10589,NA,NA,1.7351437657695543
Missouri,2022-01-13,1139906,16754,NA,NA,1.4697703143943448
Montana,2022-01-13,208132,2933,NA,NA,1.4092018526704206
Nebraska,2022-01-13,371654,3495,NA,NA,0.9403907935875842
Nevada,2022-01-13,536257,8583,NA,NA,1.6005385477485607
New Hampshire,2022-01-13,229373,2032,NA,NA,0.8858932829932032
New Jersey,2022-01-13,1915417,29737,NA,NA,1.5525078873164433
New Mexico,2022-01-13,388125,6073,NA,NA,1.5647020933977456
New York,2022-01-13,4312866,61195,NA,NA,1.4188940718306573
North Carolina,2022-01-13,1930710,19763,NA,NA,1.0236130749827783
North Dakota,2022-01-13,187528,2086,NA,NA,1.1123672198285055
Ohio,2022-01-13,2246974,32242,NA,NA,1.3544883029354144
Oklahoma,2022-01-13,775169,12697,NA,NA,1.6379653985130984
Oregon,2022-01-13,494945,5845,NA,NA,1.180939296285446
Pennsylvania,2022-01-13,2351028,38103,NA,NA,1.6206952873381346
Rhode Island,2022-01-13,290634,3151,NA,NA,1.0841814791111846
South Carolina,2022-01-13,1114781,14848,NA,NA,1.3319207987936643
South Dakota,2022-01-13,197912,2534,NA,NA,1.2803670318121183
Tennessee,2022-01-13,1540515,21121,NA,NA,1.3710350110190423
Texas,2022-01-13,5269894,76790,NA,NA,1.4717827488432158
Utah,2022-01-13,726216,3936,NA,NA,0.5419875078489045
Vermont,2022-01-13,81987,490,NA,NA,0.5976557259077658
Virginia,2022-01-13,1315256,15750,NA,NA,1.197485508524576
Washington,2022-01-13,1009187,10103,NA,NA,1.001102867952124
West Virginia,2022-01-13,367217,5481,NA,NA,1.492577957992141
Wisconsin,2022-01-13,1252891,11559,NA,NA,0.9225862425382576
Wyoming,2022-01-13,123743,1588,NA,NA,1.2833049142173698
Alabama,2021-01-14,410995,5760,211684,193551,1.401476903611966
Alaska,2021-01-14,50840,226,7165,43449,0.44453186467348543
Arizona,2021-01-14,641729,10673,87672,543384,1.663163110908187
Arkansas,2021-01-14,262020,4186,229700,28134,1.5975879703839402
California,2021-01-14,2932327,31187,NA,NA,1.063108857956494
Colorado,2021-01-14,366774,5285,19457,342032,1.4409418333905892
Connecticut,2021-01-14,220576,6536,9800,204240,2.96315102277673
Delaware,2021-01-14,67173,1166,18851,47156,1.7358164738808748
District of Columbia,2021-01-14,32600,831,22673,9096,2.549079754601227
Florida,2021-01-14,1517472,23396,NA,NA,1.5417747411484364
Georgia,2021-01-14,782288,11803,NA,NA,1.5087793753707075
Hawaii,2021-01-14,24352,312,11958,12082,1.281208935611038
Idaho,2021-01-14,152364,1564,67633,83167,1.0264891969231578
Illinois,2021-01-14,1046030,19617,NA,NA,1.8753764232383392
Indiana,2021-01-14,574119,10334,372444,191341,1.7999752664517286
Iowa,2021-01-14,301161,4232,260557,36372,1.4052284326323794
Kansas,2021-01-14,254104,3375,5026,245703,1.3281963290621164
Kentucky,2021-01-14,313281,2991,39723,270567,0.9547339289647312
Louisiana,2021-01-14,355835,8022,298614,49199,2.254415670184214
Maine,2021-01-14,31150,453,11809,18888,1.4542536115569824
Maryland,2021-01-14,314867,6404,9439,299024,2.0338746200776834
Massachusetts,2021-01-14,448447,13359,293522,141566,2.9789473449482324
Michigan,2021-01-14,573278,14336,415079,143863,2.5007064635307827
Minnesota,2021-01-14,440354,5842,419139,15373,1.326659914523315
Mississippi,2021-01-14,243899,5315,198888,39696,2.179180726448243
Missouri,2021-01-14,489319,6411,NA,NA,1.3101882412087005
Montana,2021-01-14,87653,1069,81676,4908,1.219581759894128
Nebraska,2021-01-14,179199,1803,120700,56696,1.0061440075000418
Nevada,2021-01-14,253985,3596,NA,NA,1.415831643601
New Hampshire,2021-01-14,55378,885,46633,7860,1.5981075517353462
New Jersey,2021-01-14,602629,20161,60769,521699,3.3455077668017967
New Mexico,2021-01-14,159119,2807,81603,74709,1.7640885123712442
New York,2021-01-14,1179266,40005,112023,1027238,3.392364402942169
North Carolina,2021-01-14,641073,7745,521475,111853,1.208130743300685
North Dakota,2021-01-14,95135,1364,92029,1742,1.4337520365795977
Ohio,2021-01-14,799639,15481,656433,127726,1.935873562945279
Oklahoma,2021-01-14,341820,2848,299375,39597,0.8331870575156515
Oregon,2021-01-14,129109,1708,5870,121531,1.3229131973758608
Pennsylvania,2021-01-14,750160,18484,556041,175635,2.4640076783619493
Rhode Island,2021-01-14,102485,2120,6101,94264,2.0685954042054937
South Carolina,2021-01-14,365378,5911,168440,191027,1.617776658693189
South Dakota,2021-01-14,104195,1604,97829,4762,1.5394212774125438
Tennessee,2021-01-14,665499,8148,588974,68377,1.2243444392854084
Texas,2021-01-14,2068684,31277,1612188,397286,1.532622059232116
Utah,2021-01-14,314817,1449,257824,55544,0.4602673934380926
Vermont,2021-01-14,9368,158,6321,2889,1.686592655849701
Virginia,2021-01-14,412545,5552,33798,373195,1.3457925802033717
Washington,2021-01-14,281202,3838,NA,NA,1.364855157502436
West Virginia,2021-01-14,104392,1671,74739,27982,1.600697371446088
Wisconsin,2021-01-14,558020,5679,480112,72229,1.0177054585857137
Wyoming,2021-01-14,48289,522,45904,1863,1.0809915301621489
Alabama,2022-01-14,1004622,16641,NA,NA,1.6564439162192346
Alaska,2022-01-14,173139,985,NA,NA,0.5689070631111419
Arizona,2022-01-14,1542936,25002,NA,NA,1.6204171786775343
Arkansas,2022-01-14,653789,9390,NA,NA,1.436243191610749
California,2022-01-14,6813968,77507,NA,NA,1.153337643698472
Colorado,2022-01-14,1089494,10582,NA,NA,0.9712765742629148
Connecticut,2022-01-14,628789,9442,NA,NA,1.5016165995270274
Delaware,2022-01-14,218486,2380,NA,NA,1.0893146471627473
District of Columbia,2022-01-14,120327,1245,NA,NA,1.0346804956493556
Florida,2022-01-14,4933518,63081,NA,NA,1.266925548867968
Georgia,2022-01-14,2093376,31875,NA,NA,1.5226600476932954
Hawaii,2022-01-14,156932,1114,NA,NA,0.7098615961053195
Idaho,2022-01-14,336424,4263,NA,NA,1.267150976149145
Illinois,2022-01-14,2560001,31379,NA,NA,1.225741708694645
Indiana,2022-01-14,1410021,20123,NA,NA,1.4271418652629997
Iowa,2022-01-14,631301,8201,NA,NA,1.2990633628015795
Kansas,2022-01-14,582043,7117,NA,NA,1.2227618921626064
Kentucky,2022-01-14,962007,12484,NA,NA,1.2977036549630097
Louisiana,2022-01-14,949941,15127,NA,NA,1.592414686806865
Maine,2022-01-14,158087,1626,NA,NA,1.0285475719066084
Maryland,2022-01-14,871936,12480,NA,NA,1.431297709923664
Massachusetts,2022-01-14,1411613,20872,NA,NA,1.478592220389016
Michigan,2022-01-14,1940708,30412,NA,NA,1.567056970961113
Minnesota,2022-01-14,1126697,11079,NA,NA,0.9833167213545434
Mississippi,2022-01-14,625328,10606,NA,NA,1.6960699025151598
Missouri,2022-01-14,1155331,16774,NA,NA,1.4518782928874931
Montana,2022-01-14,209900,2935,NA,NA,1.3982848975702715
Nebraska,2022-01-14,376695,3527,NA,NA,0.9363012516757592
Nevada,2022-01-14,543102,8605,NA,NA,1.5844169235244945
New Hampshire,2022-01-14,233508,2051,NA,NA,0.8783424979015708
New Jersey,2022-01-14,1939089,29853,NA,NA,1.5395373806978432
New Mexico,2022-01-14,393736,6109,NA,NA,1.551547229615783
New York,2022-01-14,4374042,61433,NA,NA,1.4044904004122505
North Carolina,2022-01-14,1975543,19850,NA,NA,1.004787038297825
North Dakota,2022-01-14,190144,2088,NA,NA,1.0981151127566475
Ohio,2022-01-14,2266236,32303,NA,NA,1.3429757536284834
Oklahoma,2022-01-14,785671,12750,NA,NA,1.6228166751731958
Oregon,2022-01-14,504731,5870,NA,NA,1.162995734361472
Pennsylvania,2022-01-14,2377252,38253,NA,NA,1.609126840570541
Rhode Island,2022-01-14,296304,3163,NA,NA,1.0674847453966196
South Carolina,2022-01-14,1132825,14880,NA,NA,1.3135303334583894
South Dakota,2022-01-14,200496,2544,NA,NA,1.2688532439549915
Tennessee,2022-01-14,1540515,21121,NA,NA,1.3710350110190423
Texas,2022-01-14,5344385,76909,NA,NA,1.4539910124000144
Utah,2022-01-14,739206,3943,NA,NA,0.5334101725364784
Vermont,2022-01-14,83994,490,NA,NA,0.5833750029764031
Virginia,2022-01-14,1334198,15785,NA,NA,1.1831077546211282
Washington,2022-01-14,1025322,10143,NA,NA,0.9892502062766624
West Virginia,2022-01-14,372674,5503,NA,NA,1.4766256835733107
Wisconsin,2022-01-14,1269899,11591,NA,NA,0.9127497541143036
Wyoming,2022-01-14,124986,1588,NA,NA,1.2705423007376826
Alabama,2021-01-15,414583,5945,221961,186677,1.4339710021877403
Alaska,2021-01-15,51185,228,7165,43792,0.44544300087916383
Arizona,2021-01-15,649040,10855,88666,549519,1.6724701097004806
Arkansas,2021-01-15,264511,4228,235513,24770,1.5984212376800966
California,2021-01-15,2975213,31636,NA,NA,1.0628687039996667
Colorado,2021-01-15,369177,5316,19560,344301,1.4399596941304578
Connecticut,2021-01-15,221544,6553,9800,205191,2.95787744195284
Delaware,2021-01-15,68065,1178,18851,48036,1.7306985969294058
District of Columbia,2021-01-15,32820,842,22899,9079,2.565508836075564
Florida,2021-01-15,1531192,23613,NA,NA,1.5421318815667793
Georgia,2021-01-15,791324,11975,NA,NA,1.5132865931021933
Hawaii,2021-01-15,24598,318,11958,12322,1.2927880315472802
Idaho,2021-01-15,153358,1591,68657,83110,1.0374418028404129
Illinois,2021-01-15,1052682,19724,NA,NA,1.8736902502370136
Indiana,2021-01-15,578494,10400,373704,194390,1.7977714548465498
Iowa,2021-01-15,302560,4251,262266,36043,1.4050105764145957
Kansas,2021-01-15,254410,3376,5026,246008,1.326991863527377
Kentucky,2021-01-15,317344,3042,39998,274304,0.9585812241605324
Louisiana,2021-01-15,361148,8080,298614,54454,2.2373099117259407
Maine,2021-01-15,31958,461,11840,19657,1.4425183052756745
Maryland,2021-01-15,317815,6449,9443,301923,2.0291679121501502
Massachusetts,2021-01-15,454402,13433,324203,116766,2.956192974502753
Michigan,2021-01-15,576573,14511,415079,146983,2.5167671743213784
Minnesota,2021-01-15,441935,5885,420919,15131,1.3316437937705772
Mississippi,2021-01-15,245847,5356,198888,41603,2.1785907495312125
Missouri,2021-01-15,492899,6457,NA,NA,1.3100046865585038
Montana,2021-01-15,88110,1077,82190,4843,1.222335716717739
Nebraska,2021-01-15,180131,1818,123234,55079,1.0092654790124964
Nevada,2021-01-15,256172,3658,NA,NA,1.427946848211358
New Hampshire,2021-01-15,55957,897,47153,7907,1.6030166020337044
New Jersey,2021-01-15,609721,20161,61264,528296,3.306594327569495
New Mexico,2021-01-15,160543,2836,82809,74898,1.7665049239144652
New York,2021-01-15,1193453,40245,112979,1040229,3.3721478767911264
North Carolina,2021-01-15,650926,7825,521475,121626,1.2021335758596214
North Dakota,2021-01-15,95378,1372,92249,1757,1.438486862798549
Ohio,2021-01-15,807293,15599,663856,127839,1.932136163697691
Oklahoma,2021-01-15,344969,2882,303476,38611,0.835437387127539
Oregon,2021-01-15,130246,1737,5870,122639,1.3336302074535875
Pennsylvania,2021-01-15,756691,18784,568908,168999,2.4823871302817135
Rhode Island,2021-01-15,103386,2130,6175,95081,2.060240264639313
South Carolina,2021-01-15,371180,5934,170072,195174,1.5986852739910555
South Dakota,2021-01-15,104512,1614,98170,4728,1.5443202694427434
Tennessee,2021-01-15,670482,8232,596883,65367,1.227773452531164
Texas,2021-01-15,2093009,31693,1630778,406166,1.5320716007690087
Utah,2021-01-15,317559,1460,260728,55371,0.45975708451028
Vermont,2021-01-15,9573,162,6403,3008,1.6922594797869006
Virginia,2021-01-15,417839,5626,34013,378200,1.3464516237115252
Washington,2021-01-15,283777,3876,NA,NA,1.3658612220158786
West Virginia,2021-01-15,105219,1702,76272,27245,1.6175785742118818
Wisconsin,2021-01-15,561160,5728,482669,72763,1.0207427471665835
Wyoming,2021-01-15,48701,522,46127,2052,1.0718465739923204
Alabama,2022-01-15,1004622,16641,NA,NA,1.6564439162192346
Alaska,2022-01-15,178618,987,NA,NA,0.5525758882083552
Arizona,2022-01-15,1563193,25068,NA,NA,1.6036407532531172
Arkansas,2022-01-15,664194,9413,NA,NA,1.4172064186066118
California,2022-01-15,6879906,77657,NA,NA,1.1358947388898957
Colorado,2022-01-15,1103698,10614,NA,NA,0.9616761106752028
Connecticut,2022-01-15,637572,9556,NA,NA,1.498811114666265
Delaware,2022-01-15,221811,2396,NA,NA,1.0801989080794008
District of Columbia,2022-01-15,121871,1255,NA,NA,1.0297773875655407
Florida,2022-01-15,4992579,63158,NA,NA,1.2519381265674514
Georgia,2022-01-15,2113319,31928,NA,NA,1.5107988902763851
Hawaii,2022-01-15,160031,1117,NA,NA,0.6979897644831314
Idaho,2022-01-15,339690,4270,NA,NA,1.2570284671317966
Illinois,2022-01-15,2589636,31532,NA,NA,1.2176228628270538
Indiana,2022-01-15,1425877,20226,NA,NA,1.4184954242196206
Iowa,2022-01-15,631301,8201,NA,NA,1.2990633628015795
Kansas,2022-01-15,621692,7163,NA,NA,1.1521782490365005
Kentucky,2022-01-15,975346,12518,NA,NA,1.283441978538898
Louisiana,2022-01-15,995724,15137,NA,NA,1.5202003768112449
Maine,2022-01-15,159498,1644,NA,NA,1.0307339276981529
Maryland,2022-01-15,881922,12551,NA,NA,1.4231417290871529
Massachusetts,2022-01-15,1426283,20939,NA,NA,1.46808172010744
Michigan,2022-01-15,1984056,30709,NA,NA,1.5477889736983237
Minnesota,2022-01-15,1138246,11111,NA,NA,0.9761510253495292
Mississippi,2022-01-15,634628,10625,NA,NA,1.674209142994006
Missouri,2022-01-15,1165263,16801,NA,NA,1.4418204302376374
Montana,2022-01-15,212078,2945,NA,NA,1.3886400286686973
Nebraska,2022-01-15,383915,3540,NA,NA,0.922079106052121
Nevada,2022-01-15,549198,8626,NA,NA,1.5706539353748556
New Hampshire,2022-01-15,235898,2079,NA,NA,0.8813131099034328
New Jersey,2022-01-15,1962198,29959,NA,NA,1.52680820182265
New Mexico,2022-01-15,398939,6145,NA,NA,1.5403357405518137
New York,2022-01-15,4420245,61654,NA,NA,1.3948095637232778
North Carolina,2022-01-15,2011302,19903,NA,NA,0.9895580076984958
North Dakota,2022-01-15,192239,2091,NA,NA,1.0877085294867326
Ohio,2022-01-15,2307691,32339,NA,NA,1.3399540926406526
Oklahoma,2022-01-15,796986,12775,NA,NA,1.6029139784136734
Oregon,2022-01-15,513391,5883,NA,NA,1.1459102321622312
Pennsylvania,2022-01-15,2403053,38426,NA,NA,1.599049209484768
Rhode Island,2022-01-15,302109,3175,NA,NA,1.0509451886570742
South Carolina,2022-01-15,1153125,14914,NA,NA,1.2933550135501355
South Dakota,2022-01-15,203137,2559,NA,NA,1.2688532439549915
Tennessee,2022-01-15,1540515,21121,NA,NA,1.3710350110190423
Texas,2022-01-15,5402259,76919,NA,NA,1.452239266137633
Utah,2022-01-15,750334,3951,NA,NA,0.5265655028294066
Vermont,2022-01-15,86311,493,NA,NA,0.5711902306774339
Virginia,2022-01-15,1351417,15803,NA,NA,1.169365192238961
Washington,2022-01-15,1041456,10196,NA,NA,0.9790139957905086
West Virginia,2022-01-15,377735,5516,NA,NA,1.4602830026341218
Wisconsin,2022-01-15,1297612,11649,NA,NA,0.8977259766401667
Wyoming,2022-01-15,126468,1588,NA,NA,1.2556536040737578
Alabama,2021-01-16,417528,6030,221961,189537,1.4442145197447835
Alaska,2021-01-16,51485,229,7165,44091,0.44478974458580167
Arizona,2021-01-16,658186,11040,89665,557481,1.6773374091822069
Arkansas,2021-01-16,267635,4263,237729,25643,1.5928409961327927
California,2021-01-16,3016735,32225,NA,NA,1.067755152891935
Colorado,2021-01-16,371458,5343,19665,346450,1.4383860355679512
Connecticut,2021-01-16,223422,6594,9800,207028,2.9513655772484357
Delaware,2021-01-16,68727,1182,18851,48694,1.719848094635296
District of Columbia,2021-01-16,33140,842,23131,9167,2.5407362703681353
Florida,2021-01-16,1548067,23799,NA,NA,1.537336562306412
Georgia,2021-01-16,801130,12138,NA,NA,1.5151099072560008
Hawaii,2021-01-16,24789,318,11958,12513,1.282827060389689
Idaho,2021-01-16,154470,1603,69460,83407,1.037741956366932
Illinois,2021-01-16,1059324,19873,NA,NA,1.8760077181296753
Indiana,2021-01-16,583160,10465,374379,198316,1.7945332327320118
Iowa,2021-01-16,303926,4257,263844,35825,1.4006698999098466
Kansas,2021-01-16,258354,3517,5138,249699,1.3613104500027096
Kentucky,2021-01-16,321269,3061,40100,278108,0.952784115492002
Louisiana,2021-01-16,364853,8080,298614,58159,2.2145905337218004
Maine,2021-01-16,32781,477,11876,20428,1.4551111924590463
Maryland,2021-01-16,320739,6494,9444,304801,2.0246992102613026
Massachusetts,2021-01-16,459927,13509,324203,122215,2.937205252137839
Michigan,2021-01-16,579574,14550,415079,149945,2.5104645826072254
Minnesota,2021-01-16,443562,5918,422289,15355,1.3341990522181792
Mississippi,2021-01-16,248189,5411,198888,43890,2.180193320413072
Missouri,2021-01-16,497037,6492,NA,NA,1.3061401867466609
Montana,2021-01-16,88635,1086,82460,5089,1.2252496192249112
Nebraska,2021-01-16,180910,1837,124233,54840,1.0154220330551105
Nevada,2021-01-16,258050,3698,NA,NA,1.4330556093780276
New Hampshire,2021-01-16,56966,908,48018,8040,1.5939332233261945
New Jersey,2021-01-16,616032,20320,61718,533994,3.298529946496286
New Mexico,2021-01-16,161805,2874,84015,74916,1.7762121071660333
New York,2021-01-16,1212922,40449,113919,1058554,3.334839338391092
North Carolina,2021-01-16,659840,7933,521475,130432,1.2022611542192048
North Dakota,2021-01-16,95599,1395,92551,1653,1.4592202847310118
Ohio,2021-01-16,814442,15741,669448,129254,1.9326115303483855
Oklahoma,2021-01-16,348513,2925,306874,38714,0.8392800268569609
Oregon,2021-01-16,131258,1758,5870,123630,1.3393469350439593
Pennsylvania,2021-01-16,763448,19009,573504,170935,2.4898879818926765
Rhode Island,2021-01-16,104443,2146,6229,96068,2.0547092672558236
South Carolina,2021-01-16,375967,6037,171539,198391,1.6057260344657909
South Dakota,2021-01-16,104937,1629,98576,4732,1.552359987421024
Tennessee,2021-01-16,676039,8311,602938,64790,1.2293669448064386
Texas,2021-01-16,2120213,32086,1649735,413100,1.5316090678359708
Utah,2021-01-16,320102,1472,263256,55374,0.4598534217218262
Vermont,2021-01-16,9734,163,6506,3065,1.674542839531539
Virginia,2021-01-16,422634,5656,34805,382173,1.3382737782573102
Washington,2021-01-16,285970,3903,NA,NA,1.364828478511732
West Virginia,2021-01-16,106649,1733,77900,27016,1.624956633442414
Wisconsin,2021-01-16,563866,5770,485157,72939,1.0232927681399482
Wyoming,2021-01-16,48909,522,46502,1885,1.0672882291602772
Alabama,2022-01-16,1004622,16641,NA,NA,1.6564439162192346
Alaska,2022-01-16,178618,987,NA,NA,0.5525758882083552
Arizona,2022-01-16,1563193,25068,NA,NA,1.6036407532531172
Arkansas,2022-01-16,675790,9430,NA,NA,1.395403897660516
California,2022-01-16,6923239,77723,NA,NA,1.1310676665819224
Colorado,2022-01-16,1103720,10616,NA,NA,0.9618381473562136
Connecticut,2022-01-16,637572,9556,NA,NA,1.498811114666265
Delaware,2022-01-16,225094,2424,NA,NA,1.076883435364781
District of Columbia,2022-01-16,121871,1255,NA,NA,1.0297773875655407
Florida,2022-01-16,5041918,63158,NA,NA,1.2396869603988006
Georgia,2022-01-16,2113319,31928,NA,NA,1.5107988902763851
Hawaii,2022-01-16,166008,1123,NA,NA,0.67647342296756785
Idaho,2022-01-16,340857,4274,NA,NA,1.2538982623211494
Illinois,2022-01-16,2589640,31532,NA,NA,1.2176209820670054
Indiana,2022-01-16,1425877,20226,NA,NA,1.4184954242196206
Iowa,2022-01-16,645410,8201,NA,NA,1.2706651585813669
Kansas,2022-01-16,621692,7163,NA,NA,1.1521782490365005
Kentucky,2022-01-16,975346,12518,NA,NA,1.283441978538898
Louisiana,2022-01-16,996623,15137,NA,NA,1.5188290858228235
Maine,2022-01-16,160857,1658,NA,NA,1.03072915695307
Maryland,2022-01-16,891802,12608,NA,NA,1.4137667329743595
Massachusetts,2022-01-16,1426283,20939,NA,NA,1.46808172010744
Michigan,2022-01-16,1984056,30709,NA,NA,1.5477889736983237
Minnesota,2022-01-16,1138246,11111,NA,NA,0.9761510253495292
Mississippi,2022-01-16,634628,10625,NA,NA,1.674209142994006
Missouri,2022-01-16,1185468,16823,NA,NA,1.41910199178721
Montana,2022-01-16,212078,2945,NA,NA,1.3886400286686973
Nebraska,2022-01-16,383915,3540,NA,NA,0.922079106052121
Nevada,2022-01-16,549198,8626,NA,NA,1.5706539353748556
New Hampshire,2022-01-16,235898,2079,NA,NA,0.8813131099034328
New Jersey,2022-01-16,1979057,30079,NA,NA,1.5198652691660726
New Mexico,2022-01-16,398939,6145,NA,NA,1.5403357405518137
New York,2022-01-16,4460856,61746,NA,NA,1.3841737998267598
North Carolina,2022-01-16,2011302,19903,NA,NA,0.9895580076984958
